"Species","Strength","Degree","d","partner_dep","keystone_score"
"Alchornea latifolia",3.03179595360631,7,0.354129628155142,0,0.460237776901672
"Andira inermis",0.0251550113805824,2,0.138215205487125,0,-0.0917129019311794
"Anthurium scandens",0.204153974703398,3,0.467862710433198,0,-0.37638158106001
"Ardisia obovata",0.00364963503649635,1,0,0,0
"Buchenavia capitata",0.0158547289883695,2,0.0992107729565831,0,-0.0487160141042563
"Bursera simaruba",0.00510204081632653,1,0.0596839125720804,0,-0.0678577623383444
"Byrsonima coriacea",0.11133813327799,4,0.191357992217103,0,-0.0134180266236729
"Casearia arborea",1.10398385921865,7,0.156515863551069,0,0.374214917225972
"Casearia sylvestris",0.333333333333333,1,0.804278066018514,0,-0.864320964232288
"Cecropia schreberiana",6.19290422246826,17,0.137438353688334,0,1.84319876487045
"Chrysophyllum argenteum",0.0256410256410256,1,0.347322637806841,0,-0.392701725236734
"Citrus sinensis",0.0282912120974282,3,0.0649286036133388,0,0.0549053353490985
"Clusia gundlachi",0.0834111191254048,3,0.254396801286904,0,-0.152350180117946
"Clusia rosea",2.50855812134614,11,0.438313417264313,0,0.529654111628737
"Coffea arabica",0.0373601053324556,2,0.216678139391416,0,-0.179258035947291
"Comocladia glabra",0.00510204081632653,1,0.0596839125720804,0,-0.0678577623383444
"Cordia sulcata",0.102189781021898,1,0.340033866420374,0,-0.372018072882672
"Cupania americana",1.13163922166126,7,0.320871904744896,0,0.191172006343952
"Dendropanax arboreus",0.0479941579932513,3,0.0735440418368134,0,0.0482595304667727
"Dendropemon bicolor",0.0582629603565564,3,0.202273772291938,0,-0.0969470407712757
"Ficus sp1 M_SD_003",0.0229885057471264,1,0.307193674902837,0,-0.347347797283441
"Ficus sp1 M_SD_004",0.2160368606095,4,0.269593395588716,0,-0.0857593463977248
"Ficus sp1 M_SD_005",0.0307430664573522,2,0.179003122252752,0,-0.137344324447926
"Ficus sp1 M_SD_006",0.0471278959060616,2,0.229497012556152,0,-0.192304699476011
"Guapira fragrans",0.0256410256410256,1,0.347322637806841,0,-0.392701725236734
"Guarea guidonia",3.42635547404131,10,0.416841001048277,0,0.63994048536201
"Henriettea fascicularis",0.257291181610148,5,0.139263314133193,0,0.132097648708109
"Hyeronima clusioides",0.0109489051094891,1,0.121908326995668,0,-0.137903928715757
"Inga laurina",0.225351228318028,3,0.188209444482698,0,-0.0539047633952378
"Inga vera",0.233453172494176,5,0.223481193633507,0,0.032163292049604
"Margravia rectiflora",0.0473801560758082,2,0.312089244188911,0,-0.286492107174975
"Miconia affinis",0.177349010399231,4,0.253121400434476,0,-0.0732175180223458
"Miconia laevigatta",0.00364963503649635,1,0,0,0
"Miconia prasina",0.465287899224459,6,0.134891052783617,0,0.233191993705975
"Miconia racemosa",0.0328798185941043,2,0.193122418697913,0,-0.153107569760079
"Miconia serrulata",0.215202617669268,3,0.302310437424246,0,-0.185720488783823
"Momordica charantia",0.0499557913351017,2,0.290805941718684,0,-0.261794179098889
"Murraya paniculata",0.25,1,0.753026416849064,0,-0.819312967028397
"Musa acuminata",0.269374100004965,4,0.159380860140088,0,0.0485981012417125
"Myrcia sp1 M_SD_003",0.0540932824561604,3,0.0903192773100186,0,0.0301063683596416
"Myrcine coriacea",0.0580348299746867,4,0.093545647341613,0,0.0895622912201005
"Ocotea coriacea",0.398806833589442,4,0.441306731455012,0,-0.252134156769332
"Ocotea floribunda",0.130705956792913,3,0.376858303491314,0,-0.284423119983361
"Ocotea leucoxylon",0.135135135135135,1,0.585896402864537,0,-0.647195744049573
"Palicourea crocea",0.00510204081632653,1,0.0596839125720804,0,-0.0678577623383444
"Palicourea guianensis",0.0240929705215419,2,0.128193815084575,0,-0.0804512510740427
"Persea americana",0.029290660677522,2,0.148243230625405,0,-0.102485518276736
"Petitia dominguensis",0.027027027027027,1,0.356701318016457,0,-0.403177775827168
"Philodendron angustatum",0.0138888888888889,1,0.238095757310624,0,-0.269985308650467
"Phoradendron sp1 M_SD_003",0.0395847994370162,2,0.226737296479837,0,-0.190374923930398
"Phoradendron sp1 M_SD_004",1.14201798059659,7,0.463315512076613,0,0.0303372564822855
"Phoradendron sp1 M_SD_005",0.0229885057471264,1,0.307193674902837,0,-0.347347797283441
"Phytolacca rivinoides",0.025388765471279,2,0.133086121936159,0,-0.0858234442313138
"Piper amalaga",0.00364963503649635,1,0,0,0
"Piper sp1 M_SD_004",0.5,1,0.876513208424532,0,-0.919804500210507
"Psychotria berteroana",0.0160509459258156,2,0.0537004358912538,0,0.00323770956375802
"Roystonea borinquena",0.344425193203359,3,0.558052232530715,0,-0.456613705374308
"Schefflera morototoni",1.72627235157082,12,0.264231854659349,0,0.664366820058229
"Solanum rugosum",0.029290660677522,2,0.148243230625405,0,-0.102485518276736
"Syzigium jambos",0.0291950113378685,2,0.154580982082741,0,-0.109731612364401
"Syzigium malaccensis",0.0256410256410256,1,0.347322637806841,0,-0.392701725236734
"Tilandsia sp1 M_SD_004",0.0416666666666667,1,0.381855614762815,0,-0.429510581891947
"Tournefortia hisutissima",0.0290384005077753,2,0.113800373550129,0,-0.0632309673729677
"Unidentified sp1 M_SD_004",0.0138888888888889,1,0.238095757310624,0,-0.269985308650467
"Unidentified sp1 M_SD_005",0.00510204081632653,1,0.0596839125720804,0,-0.0678577623383444
"Unidentified sp2 M_SD_003",0.010752688172043,1,0.192500258813817,0,-0.218472845528324
"Unidentified sp2 M_SD_005",0.0217391304347826,1,0.317913055978203,0,-0.359779230923362
"Unidentified sp3 M_SD_003",0.00364963503649635,1,0,0,0
"Zanthoxylum martinicensis",0.0307430664573522,2,0.179003122252752,0,-0.137344324447926
