"degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d","Species"
7,0.101449275362319,0.41250809958192,-0.08392741434544,0.36,0.989495798319328,0.911764705882353,0.60190160260269,0.0839334719801739,1.12,0.0504288164665523,0,0.0431985294117647,0.0320028583094074,3.32209935042744,1.40755466121906,4.08595164175553,0.182235736246773,0.392167193537057,0.231880208861038,"Coereba.flaveola."
10,0.144927536231884,4.0767572949965,0.30767572949965,0.28,0.96524064171123,0.867647058823529,0.404875116878356,0.478212297923319,1.28,0.0227987421383648,0,0.0395220588235294,0.0335867806259733,4.50205912405308,1.96369952090357,7.12563981631123,0.317807534696342,0.271808162219121,0.572272183332002,"Columba.squamosa."
1,0.0144927536231884,0.0072992700729927,-0.992700729927007,0.92,1,1,1,0.0072992700729927,1.36,0,0,0.0376838235294118,0.00245967710240265,134217776.500017,0,1,0.0446005611971646,0.14436248682824,0.00293709268687362,"Dendroica.caerulescens."
2,0.0289855072463768,0.0300945315304535,-0.484952734234773,0.6,0.995098039215686,0.985294117647059,0.787073880977921,0.0184725379921024,1.32,0.00393081761006289,0,0.0386029411764706,0.00894324797265621,1.59180573094355,0.562335144618808,1.75476535060332,0.0782635194062476,0.272918861959958,0.145604118198373,"Dendroica.tigrina."
11,0.159420289855072,5.27527019880082,0.388660927163711,0.24,0.99144385026738,0.852941176470588,0.65837620998325,0.693401106987001,1.24,0.0185963407661521,0,0.0404411764705882,0.0527461877957245,3.33400186948742,1.27729931006579,3.58693942151814,0.159979511179942,0.185167690127539,0.769849876835807,"Euphonia.musica."
5,0.072463768115942,0.446359940872136,-0.110728011825573,0.4,0.941176470588235,0.941176470588235,0.433860915637312,0.0892719881744272,1.48,0.00536497045931008,0,0.0349264705882353,0.0087541605092898,2147483650.5,1.6094379124341,5,0.223002805985823,0.103266596417281,0.411803557632249,"Icterus.dominicensis."
33,0.478260869565217,13.118368939281,0.367223301190334,0.04,0.977272727272727,0.529411764705882,0.421283355160778,0.430517247677364,1,0.172441395082905,0.519056261343013,0.0459558823529412,0.061882811442215,11.3633156335265,2.37896140310192,10.7936867508511,0.48140448647436,0.557084793875401,0.347938984935336,"Loxigilla.portoricensis."
17,0.246376811594203,6.78250472880817,0.340147336988716,0.16,0.970588235294118,0.764705882352941,0.380444961486243,0.271665230023952,1.12,0.0504288164665523,0,0.0431985294117647,0.0322639802991067,11.4778188250888,2.32835993957845,10.2610989031607,0.457650769580575,0.385669125395153,0.365851641522768,"Margarops.fuscatus."
3,0.0434782608695652,0.109562056603604,-0.296812647798799,0.44,0.985294117647059,0.970588235294118,0.630490588631536,0.0429368451117689,1.12,0.0504288164665523,0,0.0431985294117647,0.0154758992527008,1.74346319522402,0.974314752869349,2.6493511285621,0.118162547142211,0.312565858798736,0.201473534072434,"Melanerpes.portoricensis."
2,0.0289855072463768,0.0790835181079084,-0.460458240946046,0.68,0.992647058823529,0.985294117647059,0.740958573634948,0.0426213353042621,1.56,0.000786163522012579,0,0.0330882352941176,0.0068570080547959,2.62230292149728,0.636514168294813,1.88988157484231,0.0842897788341483,0.0779768177028451,0.349362280470577,"Molothrus.bonariensis."
2,0.0289855072463768,0.0631689770135112,-0.468415511493244,0.64,0.985294117647059,0.985294117647059,0.701888209634219,0.0315844885067556,1.48,0.00669430150562226,0,0.0349264705882353,0.00878857014109766,1.59180573094355,0.693147180559945,2,0.0892011223943292,0.189673340358272,0.237231094706358,"Myarchus.antillarum."
1,0.0144927536231884,0.0072992700729927,-0.992700729927007,0.96,1,1,1,0.0072992700729927,1.36,0,0,0.0376838235294118,0.00245967710240265,134217776.500017,0,1,0.0446005611971646,0.14436248682824,0.00293709268687362,"Nesospingus.sp1.M_SD_003"
20,0.289855072463768,7.87577450482076,0.343788725241038,0.12,0.926470588235294,0.720588235294118,0.271602101473929,0.397108751216773,1.08,0.0796740994854202,0,0.0441176470588235,0.0464250034908711,9.17293903775839,2.67493972299397,14.5114751049556,0.647219933479702,0.412466338836202,0.416368104263338,"Nesospingus.sp1.M_SD_004"
3,0.0434782608695652,1.05031282586027,0.0167709419534237,0.48,0.985294117647059,0.970588235294118,0.604821315372906,0.266227841501564,1.36,0,0,0.0376838235294118,0.0068893898736694,5.45255569609268,1.03972077083992,2.82842712474619,0.126149437068963,0.174920969441517,0.381010455109394,"Nesospingus.speculiferus"
33,0.478260869565217,15.7348593366002,0.446510888987884,0,0.962375859434683,0.529411764705882,0.379004280214031,0.597157873571955,1.08,0.133428625881456,0.361161524500907,0.0441176470588235,0.0675285376982815,9.80597289712732,2.35485962784322,10.5366497056373,0.469940490009364,0.540134448093652,0.473968881064739,"Spindalis.portoricensis."
2,0.0289855072463768,1.00729927007299,0.00364963503649635,0.76,0.985294117647059,0.985294117647059,0.701888209634219,0.503649635036496,1.36,0,0,0.0376838235294118,0.00245967710240265,268435505.000009,0.693147180559945,2,0.0892011223943292,0.145416227608008,0.500735353071783,"Tiaris.bicolor."
2,0.0289855072463768,0.0316895139754317,-0.484155243012284,0.8,0.985294117647059,0.985294117647059,0.701888209634219,0.0158447569877159,1.24,0.064622641509434,0,0.0404411764705882,0.00473690300106395,268435505.000009,0.693147180559945,2,0.0892011223943292,0.187565858798736,0.123893394804731,"Todus.mexicanus."
14,0.202898550724638,4.61622280111198,0.258301628650856,0.2,0.966386554621849,0.808823529411765,0.367301628002795,0.213672163757098,1.16,0.0403135124833238,0,0.0422794117647059,0.0372233318894484,6.85342424992553,2.24378640802484,9.42896569303534,0.420537161418188,0.443945571997984,0.310039159679559,"Turdus.plumbeus."
2,0.0289855072463768,0.0513621889373747,-0.474318905531313,0.56,0.997549019607843,0.985294117647059,0.866891342810676,0.0381699324381244,1.44,0.00545549838002668,0,0.0358455882352941,0.0139879938934325,0.935411975869778,0.410116318288409,1.50699306577254,0.0672127364536908,0.275026343519494,0.215416665388478,"Tyrannus.caudifasciatus."
9,0.130434782608696,1.31960359403776,0.03551151044864,0.32,0.966911764705882,0.882352941176471,0.452157684362457,0.140464941746512,1.08,0.0796740994854202,0,0.0441176470588235,0.0299982141778867,4.87660418995945,1.79835823440604,6.03972350998281,0.269375058020942,0.387249736564805,0.295779712644985,"Tyrannus.dominicensis."
1,0.0144927536231884,0.125,-0.875,1,1,1,1,0.125,1.76,0,0,0.0284926470588235,0.0024961473639811,134217776.500017,0,1,0.0446005611971646,0.00842992623814542,0.57858901073158,"Unidentified.sp1.M_SD_003"
20,0.289855072463768,5.53319845451066,0.226659922725533,0.08,0.96210407239819,0.720588235294118,0.388674835258472,0.294872457373038,1,0.172441395082905,0.11978221415608,0.0459558823529412,0.0517344039091515,7.82427167138828,2.26210349800031,9.60326839170247,0.428311159596923,0.517692647608688,0.290688035451522,"Vireo.altiloquous."
2,0.0289855072463768,0.0268884892086331,-0.486555755395683,0.72,0.992647058823529,0.985294117647059,0.740958573634948,0.0137589928057554,1.52,0.00164379645511721,0,0.0340073529411765,0.00679640003304474,2.62230292149728,0.636514168294813,1.88988157484231,0.0842897788341483,0.230769230769231,0.122372596964524,"Vireo.flavirostris."
3,0.0434782608695652,1.04878048780488,0.0162601626016261,0.52,0.970588235294118,0.970588235294118,0.568796458994521,0.349593495934959,1.44,0.0408471507528111,0,0.0358455882352941,0.00470069623794404,536870956.16667,1.09861228866811,3,0.133801683591494,0.0874604847207587,0.493320848483442,"Vireo.latimeri."
1,0.0144927536231884,0.121951219512195,-0.878048780487805,0.84,1,1,1,0.121951219512195,1.76,0,0,0.0284926470588235,0.0110290383300342,0.37589110843365,0,1,0.0446005611971646,0.0432033719704953,0.537635744192966,"Zenaida.asiatica"
1,0.0144927536231884,0.0487804878048781,-0.951219512195122,0.88,1,1,1,0.0487804878048781,1.76,0,0,0.0284926470588235,0.00478135431018603,0.79590192820484,0,1,0.0446005611971646,0.0432033719704953,0.386993003798997,"Zenaida.zenaida."
